TARGET,ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
1.00,582.00,3.00,3.00,0.00,4.00,0.00,5.00,117.00,27.00,0.00,0.00,0.00,5.00,"$19,410","$21,147",16.00,2.00,1.00,3.00,3.00,92.00%,21.00%,2.00,3.00,7.00,21.00%,4.00,4.00,0.00%
1.00,662.00,15.00,9.00,0.00,3.00,1.00,3.00,14.00,14.00,0.00,0.00,1.00,1.00,"$16,776","$20,971",1.00,0.00,0.00,1.00,1.00,80.00%,0.00%,0.00,0.00,0.00,100.00%,12.00,0.00,100.00%
1.00,805.00,0.00,0.00,0.00,1.00,5.00,1.00,354.00,7.00,0.00,2.00,10.00,19.00,"$16,903","$47,593",21.00,1.00,1.00,4.00,5.00,36.00%,65.00%,0.00,1.00,1.00,73.00%,1.00,1.00,53.00%
1.00,1175.00,8.00,5.00,0.00,6.00,1.00,10.00,16.00,4.00,0.00,2.00,4.00,3.00,"$18,339","$20,093",1.00,1.00,0.00,2.00,3.00,91.00%,25.00%,1.00,1.00,1.00,75.00%,7.00,1.00,133.00%
1.00,1373.00,3.00,1.00,0.00,9.00,0.00,8.00,130.00,52.00,0.00,0.00,0.00,1.00,"$2,327","$1,860",3.00,4.00,1.00,1.00,1.00,125.00%,0.00%,0.00,1.00,4.00,14.00%,3.00,1.00,0.00%
1.00,1483.00,1.00,1.00,1.00,2.00,2.00,0.00,124.00,3.00,1.00,4.00,5.00,5.00,"$5,961","$5,800",5.00,2.00,0.00,4.00,4.00,103.00%,50.00%,0.00,0.00,2.00,63.00%,0.00,0.00,100.00%
1.00,1514.00,0.00,0.00,0.00,1.00,3.00,1.00,148.00,10.00,0.00,2.00,6.00,14.00,"$55,642","$77,854",24.00,0.00,0.00,7.00,9.00,71.00%,59.00%,3.00,0.00,0.00,52.00%,0.00,0.00,43.00%
1.00,1911.00,3.00,2.00,0.00,5.00,1.00,3.00,124.00,2.00,1.00,4.00,6.00,7.00,"$14,577","$21,638",12.00,0.00,0.00,4.00,4.00,67.00%,53.00%,2.00,0.00,2.00,47.00%,1.00,1.00,86.00%
1.00,2596.00,1.00,1.00,0.00,2.00,0.00,3.00,286.00,6.00,0.00,2.00,6.00,6.00,"$26,853","$33,562",5.00,6.00,2.00,3.00,4.00,80.00%,15.00%,1.00,5.00,6.00,46.00%,5.00,5.00,100.00%
1.00,2767.00,0.00,0.00,0.00,0.00,15.00,0.00,175.00,25.00,0.00,0.00,0.00,10.00,"$36,424","$61,036",17.00,1.00,0.00,4.00,5.00,60.00%,61.00%,1.00,0.00,1.00,56.00%,0.00,0.00,0.00%
1.00,2875.00,2.00,2.00,0.00,5.00,0.00,6.00,177.00,8.00,0.00,1.00,7.00,9.00,"$56,432","$75,953",19.00,1.00,1.00,4.00,7.00,74.00%,38.00%,3.00,1.00,2.00,43.00%,2.00,2.00,78.00%
1.00,2884.00,8.00,7.00,0.00,0.00,23.00,1.00,129.00,16.00,0.00,0.00,2.00,3.00,"$8,526","$9,602",1.00,2.00,2.00,3.00,3.00,89.00%,0.00%,0.00,2.00,2.00,75.00%,9.00,2.00,67.00%
1.00,2940.00,1.00,0.00,1.00,8.00,1.00,6.00,168.00,7.00,0.00,1.00,4.00,6.00,"$19,415","$35,027",9.00,16.00,0.00,3.00,4.00,55.00%,15.00%,3.00,2.00,18.00,22.00%,2.00,4.00,67.00%
1.00,3060.00,0.00,0.00,0.00,1.00,6.00,2.00,129.00,8.00,0.00,1.00,3.00,14.00,"$15,335","$26,706",23.00,0.00,0.00,4.00,7.00,57.00%,48.00%,3.00,0.00,0.00,56.00%,0.00,0.00,21.00%
1.00,3132.00,6.00,3.00,0.00,1.00,0.00,0.00,59.00,8.00,0.00,2.00,3.00,3.00,$706,$716,4.00,2.00,1.00,2.00,2.00,99.00%,50.00%,0.00,1.00,2.00,50.00%,4.00,1.00,100.00%
1.00,3190.00,2.00,2.00,0.00,8.00,1.00,9.00,96.00,3.00,1.00,1.00,1.00,1.00,$698,$630,3.00,2.00,2.00,1.00,1.00,111.00%,40.00%,0.00,2.00,2.00,20.00%,3.00,2.00,100.00%
1.00,4032.00,2.00,2.00,0.00,2.00,0.00,4.00,248.00,7.00,0.00,3.00,7.00,14.00,"$30,265","$44,493",28.00,0.00,0.00,7.00,9.00,68.00%,63.00%,2.00,0.00,1.00,47.00%,2.00,1.00,50.00%
1.00,4408.00,0.00,0.00,0.00,8.00,1.00,10.00,124.00,4.00,0.00,6.00,9.00,12.00,"$44,329","$47,349",22.00,0.00,0.00,8.00,9.00,94.00%,71.00%,1.00,0.00,2.00,50.00%,0.00,0.00,75.00%
1.00,4470.00,4.00,4.00,0.00,13.00,1.00,27.00,42.00,2.00,1.00,2.00,3.00,3.00,"$5,066","$6,354",3.00,1.00,0.00,2.00,2.00,80.00%,43.00%,0.00,0.00,1.00,43.00%,4.00,0.00,100.00%
1.00,4734.00,1.00,0.00,0.00,4.00,1.00,2.00,93.00,20.00,0.00,0.00,2.00,19.00,"$40,795","$67,014",24.00,2.00,2.00,7.00,7.00,61.00%,52.00%,3.00,4.00,6.00,66.00%,4.00,5.00,11.00%
1.00,4860.00,0.00,0.00,0.00,3.00,0.00,2.00,446.00,9.00,0.00,2.00,9.00,26.00,"$65,165","$1,26,906",33.00,0.00,0.00,5.00,7.00,51.00%,78.00%,3.00,0.00,0.00,70.00%,0.00,0.00,35.00%
1.00,5014.00,0.00,0.00,0.00,1.00,2.00,1.00,337.00,11.00,0.00,2.00,4.00,17.00,"$45,492","$44,666",14.00,0.00,0.00,9.00,12.00,102.00%,31.00%,3.00,0.00,1.00,59.00%,0.00,0.00,24.00%
1.00,5261.00,1.00,1.00,0.00,1.00,1.00,0.00,134.00,3.00,1.00,3.00,7.00,16.00,"$35,996","$42,432",18.00,0.00,0.00,9.00,11.00,85.00%,38.00%,3.00,0.00,0.00,62.00%,0.00,0.00,44.00%
1.00,5430.00,5.00,3.00,0.00,4.00,1.00,11.00,89.00,3.00,1.00,3.00,6.00,7.00,"$13,106","$14,161",14.00,0.00,0.00,4.00,5.00,93.00%,38.00%,2.00,1.00,2.00,44.00%,6.00,2.00,86.00%
